,config_id,LoadCase,Moment,C10Nucleus,C01Nucleus,C10Annulus,K1Annulus,K2Annulus,Kappa,K1Circ,K2Circ,K1Rad,K2Rad,FiberAngle,FiberAngleCirc,FiberAngleRad,y_ROM,y_IDP
2735,29,3,0.6,0.5498784572809444,0.7972379296028755,0.5262594432916128,0.6045429820135024,0.8399949031864221,0.42058120929386666,0.7701371506481799,0.11032626650412099,0.65316360024862,0.18188637011544498,0.9889888323223356,0.99854079981674,0.62211630837805,0.08017958144241946,0.5585973600461425
2736,30,3,0.6,0.6889164805336,0.9475583427789578,0.4901921791819897,0.22139711289131903,0.25332619378757776,0.918241871016303,0.15065448358388148,0.334132621435484,0.5080474248924699,0.3446185244809075,0.7277578571630422,0.36789990068560335,0.5101707822266,0.15783142633345001,0.5256258375710962
2738,32,3,0.6,0.6004327236312611,0.8212978288487445,0.743472043387246,0.07478122919755237,0.2968749392602341,0.3443272865652,0.8495687914204699,0.8487019584447949,0.67459065850135,0.715781916588335,0.36136188008918446,0.004912603916430333,0.49495496558578395,0.13797585522578515,0.5154215398706218
2739,33,3,0.6,0.5059412267436667,0.5825195873020578,0.9299480245427256,0.8473278061925476,0.06324591384851407,0.7669689519529576,0.71168061828642,0.2574156049611695,0.47246065361160594,0.61667160319158,0.776719479247049,0.5336417215546234,0.3109953462823295,0.1050453266065419,0.5253875240511334
2740,34,3,0.6,0.22399485666087277,0.8332867612896068,0.19359259552349745,0.02848772523992309,0.9536934199232445,0.25049552863703817,0.622976542666245,0.24727650892113098,0.2039729445630595,0.9453339006948399,0.9702876332048133,0.4053113951103967,0.9596435602252599,0.10673402964365784,0.5700299361305985
2741,35,3,0.6,0.38627891293812505,0.6108245200508022,0.5492870860382025,0.10658756984144048,0.011671348507817767,0.5317062728648182,0.98461470959239,0.6605805941741,0.55144810445856,0.7520304448447049,0.2961623343712156,0.8727310041270702,0.33703092392969297,0.1710458311203919,0.515208696983423
2743,37,3,0.6,0.40259915040055555,0.6842756392158156,0.1805122762933769,0.25410947025240954,0.7824803266942592,0.5148655262063939,0.42554349794985447,0.365462919560049,0.84763568943966,0.0045480402968115,0.07639337245511998,0.66575521815173,0.3701066903164405,0.22920388307424325,0.49674271891225724
2744,38,3,0.6,0.01786641111289834,0.7468476302647933,0.8977264650189538,0.8759163870703095,0.8047816358489999,0.3986452569411273,0.321993489844513,0.12378253105972149,0.41046190307389496,0.7611486745867949,0.9342321209002866,0.061846468930604,0.9960222540300551,0.07066705104355271,0.558993477152808
2745,39,3,0.6,0.9586429419865834,0.3539886460434311,0.174293958818941,0.4902788392622215,0.4803174584161511,0.6450064479873151,0.881680215731245,0.81378649080593,0.9090331713322299,0.565696190126075,0.3508063635361689,0.6291656329163667,0.27524103946671147,0.19050360027972568,0.5353809016643355
2747,41,3,0.6,0.7304595754598389,0.4456096617157867,0.48147942764289237,0.24220673067736426,0.4697984479949941,0.8605167219427332,0.532091886681715,0.5638900524553649,0.7923450437573499,0.403522796454594,0.7963043650921822,0.39966012490670333,0.463514089712491,0.15688965024688623,0.5262377244745935
2749,43,3,0.6,0.39500556905696665,0.3926478050554534,0.39261316199813334,0.5887528978540595,0.6680192388051037,0.2991019593459242,0.1258815460558665,0.51761334709801,0.8760263245961349,0.7299416583027499,0.4357962358629933,0.56270237670751,0.6048228710945449,0.12467836984096621,0.5534226018649975
2750,44,3,0.6,0.24909792098320727,0.60732837513222,0.39109556819406666,0.17633903387277142,0.640744350623837,0.28721334132402,0.9947561076781,0.3452266106681265,0.19589425645811698,0.30583114791586846,0.5944946716183578,0.72173971386599,0.19108507299747599,0.12024944357454757,0.5530352638758425
2752,46,3,0.6,0.3530050916736283,0.8498485667563511,0.3274441375801359,0.19352766370633334,0.15490716219245185,0.7284758966099424,0.4756480809678,0.581335944949485,0.933669899369315,0.9748984550193549,0.40231299356921113,0.6111512260741033,0.9804549468816249,0.19154435683439217,0.5245824747421048
2754,48,3,0.6,0.46482145357943333,0.8293779703196245,0.9447399435319922,0.38717881917859526,0.46434684341016447,0.904085151495603,0.24845651572570948,0.0473385214114545,0.29145204110818446,0.310586306602768,0.8586977497219289,0.284306594708558,0.85741380420601,0.11404811908621569,0.5180187743369562
2755,49,3,0.6,0.41753343620475564,0.76962290721556,0.9349707759527563,0.009318259345810499,0.02126868869782962,0.9319221158348393,0.2619509354419255,0.6132843838326549,0.0841784980112375,0.298737196871334,0.4160698917276467,0.6964804968432434,0.96809608503103,0.1256788785844135,0.5137137457387082
2756,50,3,0.6,0.8759362728495945,0.8058985809197045,0.8914686149146127,0.6137755589583905,0.5383351836106927,0.9247915344006606,0.164918434228551,0.46598631379486,0.15721736875791248,0.1174938371025035,0.31802240522152003,0.6168019243655367,0.26012966908286295,0.11285813959825217,0.5192967408179183
2758,52,3,0.6,0.41127296357873333,0.30858120456795557,0.537720227394764,0.1681798827315238,0.8556027980485926,0.7482901706367454,0.87525369350497,0.2143521486030745,0.764912841947455,0.2181445672478645,0.12062856991446667,0.7630052523947133,0.90317162768145,0.17038622407642245,0.5119005862271971
2759,53,3,0.6,0.8332095850926333,0.2794577564298644,0.12951987869136666,0.44923518734583573,0.03340722749551851,0.28384632802049664,0.60191791562291,0.3033047162887785,0.522283134168435,0.274590939964653,0.48843173310723553,0.5772370985448634,0.40776198181459794,0.15396947221147056,0.5632049737498805
2760,54,3,0.6,0.7425494875021833,0.4087192378090845,0.8109140812922282,0.27492537219842383,0.7468504125110667,0.14894818562184817,0.35473467440586853,0.67560400855702,0.3207432694535395,0.497856310510741,0.602150759364071,0.84457220886114,0.099111972878735,0.0776226995901554,0.5482863453671828
2763,57,3,0.6,0.4312716807045611,0.033534774036482244,0.3440070236182897,0.6987179424962284,0.5441986931630015,0.6019746502095363,0.68881312063163,0.16082864636905148,0.2307393799008505,0.35962398517567146,0.4598968951201666,0.5287092713187701,0.14223564898875699,0.15222477745220622,0.5363267348070984
2764,58,3,0.6,0.7940052707267279,0.3765250948846756,0.13555414069795382,0.4125003228970286,0.5938105086262296,0.3494650734915697,0.49102762062621946,0.11622895128599049,0.9565994490851,0.0098869008116635,0.40972472548434,0.46997868766976003,0.55691474112111,0.15986617571744702,0.556394933860316
2765,59,3,0.6,0.5544117775280556,0.27134515041104446,0.1511879954482359,0.6709094940697763,0.8086580626666889,0.19850936155323423,0.5608125995703199,0.789711909258205,0.0701186278615925,0.9382848461934499,0.5392062310657022,0.59080360462541,0.9443717441065499,0.10033728780238675,0.5964736058528125
2766,60,3,0.6,0.1880975761758239,0.5516211808503845,0.9082763330668744,0.31677837916890234,0.45156150201842443,0.9151894089427303,0.0831689682566075,0.9457127830990699,0.264518450718938,0.90848183296264,0.9534792561736934,0.38071090614074005,0.1995776220287745,0.1250615998932784,0.5129622545795907
2767,61,3,0.6,0.7513086483311,0.7589168108389955,0.4957531832112949,0.8073884622441834,0.9304736007236741,0.8524083663118333,0.7869067881646149,0.687502751861655,0.43340879375076147,0.5735487442727,0.32981546025682223,0.9268837944829633,0.056504322815072,0.14548039245535946,0.5252291670308196
2768,62,3,0.6,0.9531405823229612,0.21630049790926667,0.6646451971291537,0.47375131559256906,0.38562911300942965,0.8223757126146182,0.93197946516443,0.647492842224255,0.8994553072543949,0.890057320246935,0.6964738752955044,0.07348242603716834,0.69746275803546,0.13683977965790972,0.5226039783339799
2769,63,3,0.6,0.2796686477543872,0.1938125024180378,0.06905485248158127,0.9592167289646379,0.4441301160646149,0.9485600536419,0.63517411690659,0.908307439708015,0.138578863707361,0.16629337186532747,0.8894092750675622,0.158023296026544,0.303320082396717,0.19083642065796838,0.5259639029165017
2771,65,3,0.6,0.8610191424746334,0.6413416903432266,0.37008555688785894,0.8434495542291593,0.8515944682557779,0.245638779800513,0.18189412021214998,0.149095231234044,0.06362666123613349,0.052202058655408994,0.7411881919889244,0.266058740831563,0.47300191326473545,0.07635899487014108,0.588012127627827
2772,66,3,0.6,0.8258949202704444,0.4835232755709689,0.42039411086902817,0.6381835871714643,0.3197963692604734,0.9762713710371635,0.679054363359385,0.168784175592575,0.390300887245447,0.7809978222550951,0.7674911548756155,0.9140361783840067,0.5032244496157099,0.15841187566957649,0.5275023698603398
2773,67,3,0.6,0.61816826309405,0.9629489820704912,0.6961604106616051,0.22741867717026665,0.7853633043977705,0.3700022329119909,0.05181057800964199,0.38520441225385493,0.23474515606549648,0.10737120247016649,0.4391546737305889,0.17904224681117967,0.5931066976694499,0.11971810493637461,0.5290017775341181
2774,68,3,0.6,0.882816280684089,0.02258724253732891,0.6486022533709307,0.06576849108681382,0.05838292545403184,0.16105125351724062,0.1557191549786705,0.44637066858973345,0.030606673612713,0.5190364507351549,0.8186281888890179,0.6910482418941033,0.97214982093572,0.0876638714346427,0.5487087524302124
2777,71,3,0.6,0.5119355171043223,0.7447117305382912,0.10718143585156666,0.03296543595298169,0.39816949647423333,0.05512144047902788,0.665305905172945,0.7452151410962949,0.616541431691215,0.65328043354302,0.8641792211423156,0.41594470014796336,0.769967287675335,0.11908976659164297,0.5719694665396005
2778,72,3,0.6,0.5895433077775944,0.5586565236459756,0.08806488256765,0.8209264209339523,0.8837620801649629,0.8789223284029212,0.2829079378535625,0.988096938074095,0.3800658919535015,0.6918986131342999,0.6442778047720378,0.29739761386117636,0.7845855874374099,0.17013067441294674,0.5457030453950596
2779,73,3,0.6,0.983217675453611,0.36165884437356227,0.5118586516053384,0.760524103897,0.14655355639498224,0.8916057629435302,0.1430806701446205,0.820719179017295,0.69347842711486,0.2392706990028615,0.37165884230022,0.8490968101346568,0.147428190868478,0.1421687717754689,0.5274078229046878
2780,74,3,0.6,0.15293436999245721,0.34907622873214894,0.7170100295979692,0.5130216932518571,0.6792489137375852,0.012479833477521516,0.7337529431554549,0.1044747840909345,0.18440356633763347,0.51012849466902,0.6916009740674445,0.7333301538928767,0.26913296829671196,0.06647686988400352,0.571968912287312
2781,75,3,0.6,0.7767126474545835,0.1301176959635,0.6404848713280666,0.08660481067342618,0.9110284180643482,0.32683696609740603,0.064096818192939,0.404879488429465,0.5613220475724949,0.41456936644349496,0.13300215001458446,0.4879952582410167,0.9471920961570749,0.14040125248791863,0.5131304504299182
2782,76,3,0.6,0.08351821832414613,0.060649104483066686,0.35968036168445383,0.6430924355058404,0.8181757958959037,0.2123921392360094,0.6390845499709249,0.89635053131889,0.78261292838826,0.13591747753866248,0.22391489222747998,0.8859077947397567,0.721661282032445,0.16848463442028863,0.5334640883479227
2783,77,3,0.6,0.7548161599798723,0.6863730514736689,0.05013736921424972,0.3983683630657,0.690971530615563,0.3660840018936606,0.8688601909356399,0.755013919510405,0.011438855136429,0.8232457852951599,0.47036608345983777,0.168788149372002,0.40596618963667297,0.19222655514633352,0.5566606799974045
2785,79,3,0.6,0.44997052744700006,0.5451764367654155,0.05562335523300435,0.09991441492836431,0.12190061683785038,0.5568632402553303,0.34444449580108244,0.8684894537240601,0.6829731349174201,0.088377287573981,0.26319189226933337,0.23512025648702303,0.3903457110776519,0.2810270391091108,0.515622691099727
2788,82,3,0.6,0.4436722334779611,0.38964368685684225,0.6734809291224307,0.7862305593629808,0.4908822318551792,0.6175520206760575,0.5657036850839899,0.860372318058715,0.659597787393025,0.09947574246192549,0.45161093003983555,0.4345756647411367,0.52362353257996,0.12584125266712648,0.5259219476118726
2789,83,3,0.6,0.05438123012008112,0.46047178473460004,0.6307465225270975,0.46418167971825,0.7944401745377185,0.702187618953503,0.92747979985376,0.803873115304935,0.16196772813369698,0.66133565661983,0.5233817998464333,0.19719801404951734,0.8534498071001199,0.14737178168804324,0.5178505595868015
2791,85,3,0.6,0.5963880382494945,0.24448899563796672,0.16277777869453333,0.2782089009817119,0.37196574500865703,0.022688249304971816,0.6560077044018999,0.14546828327442898,0.8581327038424049,0.83279014615117,0.08362756731513331,0.7823964818575101,0.5620023424551649,0.25345109290768597,0.4877063870981972
2792,86,3,0.6,0.03191662964115723,0.15407871299354,0.22159269241311538,0.3424949147402762,0.6589442880475037,0.6560764547911091,0.5944904442552149,0.8714505938109399,0.79029337028682,0.6420049192778949,0.04353077347365111,0.044857255325528,0.041775987620147996,0.2565952335267584,0.47629648394761714
2793,87,3,0.6,0.12963977925159778,0.10273718316659113,0.682052196567782,0.3144531108586238,0.8360146278087408,0.8236861679539302,0.823937916339925,0.4156222225134355,0.7381088630766399,0.037712084934143,0.7494049296383022,0.6773738940295567,0.36028533534812646,0.14267543692881163,0.5159152657977405
2794,88,3,0.6,0.5179991229482833,0.8421678978455867,0.24753825808471278,0.13649971669970473,0.17499326213183997,0.4076083872601909,0.2234517201575295,0.032168622469941996,0.9931165094083599,0.42408131967999896,0.7180088061842712,0.9422185250302867,0.2813626878346545,0.12755552687962324,0.553975512185746
2795,89,3,0.6,0.04685165821431946,0.48712455727260007,0.019618587898221258,0.3285756622482738,0.21646092790170665,0.5793064122837697,0.88926101478733,0.40836866011806844,0.6917148513243949,0.695549782406675,0.04969987250146666,0.37348040159806334,0.75315627377839,0.32295875340443786,0.4798047183833091
2796,90,3,0.6,0.5774514244641723,0.7050283563554156,0.6010757989658307,0.9340416647173904,0.1332868386791978,0.9636850270392302,0.61377379231,0.0953307377297545,0.59331291830882,0.362949614540471,0.7340301960999756,0.09359979780557467,0.518696025977175,0.14104265918419676,0.5215200251346312
2797,91,3,0.6,0.526723546628889,0.8628452285326866,0.031734775984253595,0.17699352274227617,0.6069174654771111,0.04385596488228787,0.43410112380238247,0.844046165164035,0.8775144503271249,0.5897218463106999,0.19993285752113113,0.25488063403203165,0.33958262376434445,0.32611114274494324,0.4747144565210488
2798,92,3,0.6,0.7100801846930112,0.6742180992099934,0.3641656736935692,0.5579161134984,0.19639109569415036,0.04680283100262394,0.39030393337425345,0.9286233519741249,0.7143960834653699,0.507046459567555,0.8463417475672111,0.22900854373133134,0.222361890890202,0.09123310558833135,0.5737324269584985
2800,94,3,0.6,0.2698638942939122,0.04766274186586,0.8178052296759615,0.3687171963325619,0.02780590239943037,0.17322543825038908,0.271863308021009,0.919174244224125,0.37200906079636,0.7325212195252399,0.8711917910937711,0.7060647720850267,0.8996636346703499,0.07527233348956514,0.5539919145250195
2802,96,3,0.6,0.302875662525995,0.9450361083680533,0.46729979779200254,0.8859860871882379,0.8672790385770592,0.6101223129887212,0.465892865082419,0.6337384503621399,0.3932075976657275,0.6804216504223,0.2025698666663178,0.4136477985414367,0.6503345566198,0.15485859853693784,0.5167637063069658
2804,98,3,0.6,0.8511155916220555,0.9921316092571467,0.7587969428747308,0.252966234380281,0.2863837214515778,0.7792121357215727,0.21359011820510798,0.7969080351579649,0.613505900107205,0.2542425560522425,0.5599095078995977,0.46446468364241,0.17065922193164598,0.12478536785122216,0.522263236127488
2805,99,3,0.6,0.9058907702471223,0.14357365729558,0.709493930933977,0.6562548259306167,0.07776303072176742,0.7441295615747242,0.3234004028700105,0.500354423807485,0.33086753916156497,0.150404476301398,0.5120624096613222,0.5749492164461834,0.159517348970753,0.12086934932704162,0.5264179833958422
2807,101,3,0.6,0.2105623197317906,0.8966184931265533,0.08084048751965588,0.6465145977446857,0.0017494838960133386,0.16204330542161302,0.9507127046472149,0.49922602935434146,0.1738515350766805,0.2249831911325175,0.9594202308199132,0.139264204087259,0.20104055933116047,0.12268595477143486,0.5911501108851025
2808,102,3,0.6,0.023141314505257773,0.007337965486904437,0.044347705510207155,0.35117074298645473,0.5709049968438852,0.22007493781309273,0.2538870659672985,0.6201388855722699,0.1354068974933425,0.393361014248724,0.024530595041920004,0.81614999575425,0.991172409321365,0.3722069698383162,0.4625469845117314
